"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|SE1","Without Sequence","97.75","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|SE1","Without Sequence","95.51","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|SE1","Without Sequence","98.50","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|SE1","Without Sequence","110.00","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|SE1","Without Sequence","118.27","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|SE1","Without Sequence","106.94","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|SE1","Without Sequence","102.27","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|SE1","Without Sequence","94.98","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|SE1","Without Sequence","90.63","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|SE1","Without Sequence","89.34","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|SE1","Without Sequence","82.80","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|SE1","Without Sequence","86.15","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|SE1","Without Sequence","82.46","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|SE1","Without Sequence","79.22","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|SE1","Without Sequence","77.53","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|SE1","Without Sequence","76.89","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|SE1","Without Sequence","77.42","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|SE1","Without Sequence","78.45","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|SE1","Without Sequence","80.37","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|SE1","Without Sequence","84.21","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|SE1","Without Sequence","87.57","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|SE1","Without Sequence","89.75","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|SE1","Without Sequence","83.63","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|SE1","Without Sequence","76.05","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|SE1","Without Sequence","68.00","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|SE1","Without Sequence","64.85","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|SE1","Without Sequence","63.75","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|SE1","Without Sequence","60.26","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|SE1","Without Sequence","60.24","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|SE1","Without Sequence","60.19","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|SE1","Without Sequence","57.21","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|SE1","Without Sequence","55.19","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|SE1","Without Sequence","59.83","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|SE1","Without Sequence","58.35","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|SE1","Without Sequence","58.50","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|SE1","Without Sequence","54.06","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|SE1","Without Sequence","54.26","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|SE1","Without Sequence","54.72","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|SE1","Without Sequence","54.99","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|SE1","Without Sequence","56.11","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|SE1","Without Sequence","58.13","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|SE1","Without Sequence","54.24","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|SE1","Without Sequence","53.79","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|SE1","Without Sequence","53.83","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|SE1","Without Sequence","53.79","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|SE1","Without Sequence","53.62","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|SE1","Without Sequence","53.52","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|SE1","Without Sequence","53.20","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|SE1","Without Sequence","52.80","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|SE1","Without Sequence","52.12","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|SE1","Without Sequence","50.55","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|SE1","Without Sequence","49.03","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|SE1","Without Sequence","48.74","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|SE1","Without Sequence","47.14","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|SE1","Without Sequence","46.82","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|SE1","Without Sequence","46.76","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|SE1","Without Sequence","47.87","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|SE1","Without Sequence","48.23","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|SE1","Without Sequence","47.65","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|SE1","Without Sequence","27.71","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|SE1","Without Sequence","26.73","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|SE1","Without Sequence","26.33","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|SE1","Without Sequence","26.27","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|SE1","Without Sequence","26.88","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|SE1","Without Sequence","27.95","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|SE1","Without Sequence","28.26","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|SE1","Without Sequence","35.16","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|SE1","Without Sequence","35.91","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|SE1","Without Sequence","35.09","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|SE1","Without Sequence","34.40","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|SE1","Without Sequence","34.98","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|SE1","Without Sequence","36.03","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|SE1","Without Sequence","36.88","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|SE1","Without Sequence","35.23","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|SE1","Without Sequence","36.08","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|SE1","Without Sequence","35.77","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|SE1","Without Sequence","34.84","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|SE1","Without Sequence","33.39","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|SE1","Without Sequence","34.58","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|SE1","Without Sequence","33.51","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|SE1","Without Sequence","32.92","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|SE1","Without Sequence","31.11","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|SE1","Without Sequence","30.33","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|SE1","Without Sequence","28.68","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|SE1","Without Sequence","28.52","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|SE1","Without Sequence","27.99","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|SE1","Without Sequence","27.40","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|SE1","Without Sequence","27.36","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|SE1","Without Sequence","25.85","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|SE1","Without Sequence","26.34","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|SE1","Without Sequence","27.39","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|SE1","Without Sequence","27.69","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|SE1","Without Sequence","28.23","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|SE1","Without Sequence","28.42","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|SE1","Without Sequence","28.58","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|SE1","Without Sequence","28.65","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|SE1","Without Sequence","27.80","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|SE1","Without Sequence","27.43","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|SE1","Without Sequence","26.87","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|SE1","Without Sequence","26.32","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|SE1","Without Sequence","26.54","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|SE1","Without Sequence","25.94","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|SE1","Without Sequence","25.39","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|SE1","Without Sequence","25.09","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|SE1","Without Sequence","25.32","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|SE1","Without Sequence","24.43","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|SE1","Without Sequence","21.50","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|SE1","Without Sequence","21.09","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|SE1","Without Sequence","21.85","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|SE1","Without Sequence","24.39","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|SE1","Without Sequence","27.01","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|SE1","Without Sequence","28.77","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|SE1","Without Sequence","34.36","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|SE1","Without Sequence","41.94","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|SE1","Without Sequence","53.51","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|SE1","Without Sequence","59.50","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|SE1","Without Sequence","64.20","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|SE1","Without Sequence","71.23","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|SE1","Without Sequence","74.91","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|SE1","Without Sequence","73.37","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|SE1","Without Sequence","73.69","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|SE1","Without Sequence","73.82","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|SE1","Without Sequence","71.03","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|SE1","Without Sequence","62.89","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|SE1","Without Sequence","59.44","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|SE1","Without Sequence","59.21","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|SE1","Without Sequence","54.19","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|SE1","Without Sequence","49.58","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|SE1","Without Sequence","46.31","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|SE1","Without Sequence","43.90","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|SE1","Without Sequence","42.01","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|SE1","Without Sequence","44.96","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|SE1","Without Sequence","45.08","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|SE1","Without Sequence","45.02","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|SE1","Without Sequence","44.45","",""
