time,depot,bus,charger_power_MW,safe_charging_limit_MW,all_installed_feasible,min_voltage_pu_at_full_charge,max_line_loading_percent_at_full_charge,max_trafo_loading_percent_at_full_charge,full_charge_failure_reason
2026-01-11 02:00:00+00:00,Postnord,1,0.418,0.418,True,0.9944843841783656,25.654739662565344,58.10057413110844,none
2026-01-11 02:00:00+00:00,Airmee,1,0.132,0.132,True,0.9944843841783656,25.654739662565344,58.10057413110844,none
2026-01-11 03:00:00+00:00,ICA,1,0.776,0.776,True,0.9945634970543561,25.540435733086937,57.86733043016501,none
2026-01-11 03:00:00+00:00,Mathem,1,0.286,0.286,True,0.9945634970543561,25.540435733086937,57.86733043016501,none
2026-01-11 03:00:00+00:00,Postnord,1,0.418,0.418,True,0.9945634970543561,25.540435733086937,57.86733043016501,none
2026-01-11 03:00:00+00:00,Airmee,1,0.132,0.132,True,0.9945634970543561,25.540435733086937,57.86733043016501,none
2026-01-11 04:00:00+00:00,ICA,1,0.776,0.776,True,0.9946135043575818,25.46816727268602,57.719827850023044,none
2026-01-11 04:00:00+00:00,Mathem,1,0.286,0.286,True,0.9946135043575818,25.46816727268602,57.719827850023044,none
2026-01-11 04:00:00+00:00,Postnord,1,0.418,0.418,True,0.9946135043575818,25.46816727268602,57.719827850023044,none
2026-01-11 04:00:00+00:00,Airmee,1,0.132,0.132,True,0.9946135043575818,25.46816727268602,57.719827850023044,none
2026-01-11 05:00:00+00:00,ICA,1,0.776,0.776,True,0.9946428055924241,25.425816344182266,57.6333754546986,none
2026-01-11 05:00:00+00:00,Mathem,1,0.286,0.286,True,0.9946428055924241,25.425816344182266,57.6333754546986,none
2026-01-11 05:00:00+00:00,Postnord,1,0.418,0.418,True,0.9946428055924241,25.425816344182266,57.6333754546986,none
2026-01-11 05:00:00+00:00,Airmee,1,0.132,0.132,True,0.9946428055924241,25.425816344182266,57.6333754546986,none
2026-01-11 06:00:00+00:00,ICA,1,0.776,0.776,True,0.99193889113401,29.312889200770424,65.53418273575559,none
2026-01-11 06:00:00+00:00,Mathem,1,0.286,0.286,True,0.99193889113401,29.312889200770424,65.53418273575559,none
2026-01-11 06:00:00+00:00,Postnord,1,0.418,0.418,True,0.99193889113401,29.312889200770424,65.53418273575559,none
2026-01-11 06:00:00+00:00,Airmee,1,0.132,0.132,True,0.99193889113401,29.312889200770424,65.53418273575559,none
2026-01-11 07:00:00+00:00,ICA,1,0.776,0.776,True,0.9920092437953829,29.21229519771359,65.33057300861218,none
2026-01-11 07:00:00+00:00,Mathem,1,0.286,0.286,True,0.9920092437953829,29.21229519771359,65.33057300861218,none
2026-01-11 07:00:00+00:00,Postnord,1,0.418,0.418,True,0.9920092437953829,29.21229519771359,65.33057300861218,none
2026-01-11 07:00:00+00:00,Airmee,1,0.132,0.132,True,0.9920092437953829,29.21229519771359,65.33057300861218,none
2026-01-11 08:00:00+00:00,ICA,1,0.776,0.776,True,0.9919795882984591,29.254702481374895,65.41641252300539,none
2026-01-11 08:00:00+00:00,Mathem,1,0.286,0.286,True,0.9919795882984591,29.254702481374895,65.41641252300539,none
2026-01-11 08:00:00+00:00,Postnord,1,0.418,0.418,True,0.9919795882984591,29.254702481374895,65.41641252300539,none
2026-01-11 08:00:00+00:00,Airmee,1,0.132,0.132,True,0.9919795882984591,29.254702481374895,65.41641252300539,none
2026-01-11 09:00:00+00:00,ICA,1,0.776,0.776,True,0.9919310116788218,29.324153486881123,65.5569804362462,none
2026-01-11 09:00:00+00:00,Mathem,1,0.286,0.286,True,0.9919310116788218,29.324153486881123,65.5569804362462,none
2026-01-11 09:00:00+00:00,Postnord,1,0.418,0.418,True,0.9919310116788218,29.324153486881123,65.5569804362462,none
2026-01-11 09:00:00+00:00,Airmee,1,0.132,0.132,True,0.9919310116788218,29.324153486881123,65.5569804362462,none
2026-01-11 10:00:00+00:00,ICA,1,0.776,0.776,True,0.9926226248202866,28.33419956393402,63.55095939559327,none
2026-01-11 10:00:00+00:00,Mathem,1,0.286,0.286,True,0.9926226248202866,28.33419956393402,63.55095939559327,none
2026-01-11 10:00:00+00:00,Postnord,1,0.418,0.418,True,0.9926226248202866,28.33419956393402,63.55095939559327,none
2026-01-11 10:00:00+00:00,Airmee,1,0.132,0.132,True,0.9926226248202866,28.33419956393402,63.55095939559327,none
2026-01-11 11:00:00+00:00,ICA,1,0.776,0.776,True,0.9925627124523625,28.420065315818704,63.72513363686061,none
2026-01-11 11:00:00+00:00,Mathem,1,0.286,0.286,True,0.9925627124523625,28.420065315818704,63.72513363686061,none
2026-01-11 11:00:00+00:00,Postnord,1,0.418,0.418,True,0.9925627124523625,28.420065315818704,63.72513363686061,none
2026-01-11 11:00:00+00:00,Airmee,1,0.132,0.132,True,0.9925627124523625,28.420065315818704,63.72513363686061,none
2026-01-11 12:00:00+00:00,ICA,1,0.776,0.776,True,0.9924669729062433,28.557228432589536,64.00330560006168,none
2026-01-11 12:00:00+00:00,Mathem,1,0.286,0.286,True,0.9924669729062433,28.557228432589536,64.00330560006168,none
2026-01-11 12:00:00+00:00,Postnord,1,0.418,0.418,True,0.9924669729062433,28.557228432589536,64.00330560006168,none
2026-01-11 12:00:00+00:00,Airmee,1,0.132,0.132,True,0.9924669729062433,28.557228432589536,64.00330560006168,none
2026-01-11 13:00:00+00:00,ICA,1,0.776,0.776,True,0.9924615373494629,28.565013944484086,64.0190928502729,none
2026-01-11 13:00:00+00:00,Mathem,1,0.286,0.286,True,0.9924615373494629,28.565013944484086,64.0190928502729,none
2026-01-11 13:00:00+00:00,Postnord,1,0.418,0.418,True,0.9924615373494629,28.565013944484086,64.0190928502729,none
2026-01-11 13:00:00+00:00,Airmee,1,0.132,0.132,True,0.9924615373494629,28.565013944484086,64.0190928502729,none
2026-01-11 14:00:00+00:00,ICA,1,0.776,0.776,True,0.9924163433065087,28.629739034549388,64.15033212834824,none
2026-01-11 14:00:00+00:00,Mathem,1,0.286,0.286,True,0.9924163433065087,28.629739034549388,64.15033212834824,none
2026-01-11 14:00:00+00:00,Postnord,1,0.418,0.418,True,0.9924163433065087,28.629739034549388,64.15033212834824,none
2026-01-11 14:00:00+00:00,Airmee,1,0.132,0.132,True,0.9924163433065087,28.629739034549388,64.15033212834824,none
2026-01-11 15:00:00+00:00,ICA,1,0.776,0.776,True,0.9916199397872469,29.7685009812708,66.45596858077467,none
2026-01-11 15:00:00+00:00,Mathem,1,0.286,0.286,True,0.9916199397872469,29.7685009812708,66.45596858077467,none
2026-01-11 15:00:00+00:00,Postnord,1,0.418,0.418,True,0.9916199397872469,29.7685009812708,66.45596858077467,none
2026-01-11 15:00:00+00:00,Airmee,1,0.132,0.132,True,0.9916199397872469,29.7685009812708,66.45596858077467,none
